shop_name,product_name,product_image,product_url,product_review_count,product_talk_count,price,rating_average,count_sold,revenue,kelas
Lenovo Official,Lenovo IdeaCentre AIO 3 AMD 3020e 4GB 1T HDD Win10 OHS,https://images.tokopedia.net/img/VqbcmM/2021/2/27/58415ecb-eca2-4985-9162-bbcda313d25c.jpg,https://www.tokopedia.com/lenovo-official/lenovo-ideacentre-aio-3-amd-3020e-4gb-1t-hdd-win10-ohs-business-black,9,4,5499000,5.0,11,60489000,Bawah
Lenovo Official,Lenovo IdeaCentre AIO 3 Ryzen 3 3250U 8 GB 1T HDD W10 OHS,https://images.tokopedia.net/img/VqbcmM/2021/2/27/c747e480-46d9-4b9c-88cd-80d4cdd49a6b.jpg,https://www.tokopedia.com/lenovo-official/lenovo-ideacentre-aio-3-ryzen-3-3250u-8-gb-1t-hdd-w10-ohs-foggy-white,5,5,6999000,5.0,7,48993000,Bawah
Lenovo Official,Lenovo ThinkBook 14s IML Core i5-10210U 16GB 512 SSD Win10 OHS,https://images.tokopedia.net/img/VqbcmM/2021/2/24/2cd5c364-47e4-489a-833e-82c77c7516b6.jpg,https://www.tokopedia.com/lenovo-official/lenovo-thinkbook-14s-iml-core-i5-10210u-16gb-512-ssd-win10-ohs,4,0,13499000,5.0,7,94493000,Atas
Lenovo Official,"Lenovo IdeaPad Slim3i Core i7-1065G7 8GB 512 SSD MX330 Win10 OHS 15""",https://images.tokopedia.net/img/VqbcmM/2021/2/23/ee366b45-7a5a-44d7-9a04-44d261ec4fa6.jpg,https://www.tokopedia.com/lenovo-official/lenovo-ideapad-slim3i-core-i7-1065g7-8gb-512-ssd-mx330-win10-ohs-15,6,1,13299000,5.0,10,132990000,Atas
Lenovo Official,Lenovo ThinkBook 14s G2 I5-1135G7 16 GB 512 SSD Win10 PRO,https://images.tokopedia.net/img/VqbcmM/2021/2/22/6e74cb56-15c2-4f4a-b0c8-0ae7c6d87e87.jpg,https://www.tokopedia.com/lenovo-official/lenovo-thinkbook-14s-g2-i5-1135g7-16-gb-512-ssd-win10-pro,2,8,15399000,5.0,2,30798000,Atas
Lenovo Official,Lenovo ThinkBook 14s G2 I5-1135G7 16 GB 512 SSD Win10 OHS,https://images.tokopedia.net/img/VqbcmM/2021/2/22/cac1eb06-7a5c-4246-980f-51f7408b5324.jpg,https://www.tokopedia.com/lenovo-official/lenovo-thinkbook-14s-g2-i5-1135g7-16-gb-512-ssd-win10-ohs,16,9,13499000,4.9,19,256481000,Atas
Lenovo Official,Lenovo ThinkBook 14 G2 Ryzen 3 4300U 8 GB 512 SSD Win10 OHS,https://images.tokopedia.net/img/VqbcmM/2021/2/19/4d866f9c-0839-4635-86b3-f5db70aeab65.jpg,https://www.tokopedia.com/lenovo-official/lenovo-thinkbook-14-g2-ryzen-3-4300u-8-gb-512-ssd-win10-ohs,22,9,8999000,5.0,33,296967000,Menengah
Lenovo Official,Lenovo Legion 5 Ryzen 7 4800H GTX 1660 Ti 6GB 16GB 512 SSD Win10 OHS,https://images.tokopedia.net/img/VqbcmM/2021/2/13/e1e37191-05d3-4836-a924-ddfa7d7fef08.jpg,https://www.tokopedia.com/lenovo-official/lenovo-legion-5-ryzen-7-4800h-gtx-1660-ti-6gb-16gb-512-ssd-win10-ohs,14,1,19999000,4.8,19,379981000,Atas
Lenovo Official,"Lenovo Ideapad Slim 5 15ARE05 Ryzen 7 4800U 8GB 512SSD Win10 OHS 15""",https://images.tokopedia.net/img/VqbcmM/2021/2/13/f2f9dc1d-3dd6-4066-8b5d-9de6c11785eb.jpg,https://www.tokopedia.com/lenovo-official/lenovo-ideapad-slim-5-15are05-ryzen-7-4800u-8gb-512ssd-win10-ohs-15-graphite-grey,20,33,10899000,5.0,33,359667000,Menengah
Lenovo Official,IdeaPad Gaming 3 15ARH05-R5 4600H 16GB 512 SSD GTX 1650 Ti 4GB,https://images.tokopedia.net/img/VqbcmM/2021/2/8/7311e49c-e66b-4637-b561-3c1da76f9f21.jpg,https://www.tokopedia.com/lenovo-official/ideapad-gaming-3-15arh05-r5-4600h-16gb-512-ssd-gtx-1650-ti-4gb-8-gb,18,19,12999000,4.8,21,272979000,Atas
