shop_name,product_name,product_image,product_url,product_review_count,product_talk_count,price,rating_average,count_sold
Dell Official Partner,Dell Inspiron 7306 [Ci5-1135G7-8-512-UMA-W10-OHS-BLK] DELL OFFICIAL,https://images.tokopedia.net/img/VqbcmM/2021/6/5/415c3388-44b4-4447-ab94-aa869a80a494.jpg,https://www.tokopedia.com/dellid/dell-inspiron-7306-ci5-1135g7-8-512-uma-w10-ohs-blk-dell-official,1,3,19499000,5,2
Dell Official Partner,Dell Latitude 3410 [i7-10510U-8-1T SSD-NVD-W10P-BLK-3YR] DELL OFFICIAL,https://images.tokopedia.net/img/VqbcmM/2021/2/23/8e05d98f-eccf-462b-8ce6-2f2367794a3e.jpg,https://www.tokopedia.com/dellid/dell-latitude-3410-i7-10510u-8-1t-ssd-nvd-w10p-blk-3yr-dell-official,0,0,19500000,,1
Dell Official Partner,Dell G5-5590 [Ci7-9750H-8-256+1T-NVD GTX1660Ti-W10-BLK] DELL INDONESIA,https://images.tokopedia.net/img/product-1/2020/1/13/45209017/45209017_dee282a5-e8e0-42fd-8bb1-042cf5d16261_900_900,https://www.tokopedia.com/dellid/dell-g5-5590-ci7-9750h-8-256-1t-nvd-gtx1660ti-w10-blk-dell-indonesia,2,5,19699000,5,4
Dell Official Partner,Dell Inspiron 7391 [Ci7-10510U-8-512-UMA-W10-BLK-FHD-T],https://images.tokopedia.net/img/product-1/2020/1/10/45209017/45209017_74059070-e909-418c-801e-3047e6cc23b9_900_900,https://www.tokopedia.com/dellid/dell-inspiron-7391-ci7-10510u-8-512-uma-w10-blk-fhd-t,0,1,19899000,,3
Dell Official Partner,Dell G5-5500 [Ci7-10750H-8-512-NVD-W10-BLK] DELL OFFICIAL,https://images.tokopedia.net/img/VqbcmM/2020/10/28/00722b43-0d4f-4449-9dbd-6bd13168a25b.jpg,https://www.tokopedia.com/dellid/dell-g5-5500-ci7-10750h-8-512-nvd-w10-blk-dell-official,1,2,19999000,5,1
Dell Official Partner,Dell Inspiron 7490 [Ci7-10510U-16-512-NVD-W10-SLV] DELL OFFICIAL,https://images.tokopedia.net/img/product-1/2020/3/14/45209017/45209017_0bc60bd0-91ed-4e46-819a-6faed6c85c53_900_900,https://www.tokopedia.com/dellid/dell-inspiron-7490-ci7-10510u-16-512-nvd-w10-slv-dell-official,1,6,19999000,5,5
Dell Official Partner,Dell Inspiron 7501 [Ci7-10750H-8-512-NVD-W10-OHS-SLV] DELL OFFICIAL,https://images.tokopedia.net/img/VqbcmM/2021/6/5/366a9e2f-56d9-4388-b0e6-913b9f11f31b.jpg,https://www.tokopedia.com/dellid/dell-inspiron-7501-ci7-10750h-8-512-nvd-w10-ohs-slv-dell-official,0,3,20199000,,0
Dell Official Partner,Dell Inspiron 7590 [Ci7-9750H-8-512-NVD-W10-BLK] DELL INDONESIA,https://images.tokopedia.net/img/product-1/2020/1/13/45209017/45209017_1d0ef9ae-fa3a-4330-a7f8-fe409b50178d_900_900,https://www.tokopedia.com/dellid/dell-inspiron-7590-ci7-9750h-8-512-nvd-w10-blk-dell-indonesia,2,11,20999000,5,3
Dell Official Partner,Dell Inspiron 7400 [Ci7-1165G7-16-512-NVD-W10-OHS-SLV] DELL OFFICIAL,https://images.tokopedia.net/img/VqbcmM/2021/6/5/9f2f2c4f-8b4d-460d-a411-5a77ec932489.jpg,https://www.tokopedia.com/dellid/dell-inspiron-7400-ci7-1165g7-16-512-nvd-w10-ohs-slv-dell-official,1,1,21499000,5,1
Dell Official Partner,Dell G5-5505 [R9-4900H-16-512-AMD RX-W10] DELL OFFICIAL,https://images.tokopedia.net/img/VqbcmM/2021/6/5/233df06f-eeac-444e-94b8-c4dd907ba689.jpg,https://www.tokopedia.com/dellid/dell-g5-5505-r9-4900h-16-512-amd-rx-w10-dell-official,0,0,21699000,,0
Dell Official Partner,Dell G5-5000 MT [Ci7-10700F-16-512-NVD-W10-Dell SE2417HGX],https://images.tokopedia.net/img/attachment/2021/6/5/-1/-1_204f97aa-073c-409b-bca9-1ecd5e939eef.jpg,https://www.tokopedia.com/dellid/dell-g5-5000-mt-ci7-10700f-16-512-nvd-w10-dell-se2417hgx,3,1,22100000,5,4
Dell Official Partner,Dell Inspiron 7391 [Ci7-10510U-16-512-UMA-W10-BLK-UHD-T] DELL OFFICIAL,https://images.tokopedia.net/img/product-1/2020/5/12/45209017/45209017_a58ea820-242c-4568-aa9a-c5a70b0f27e5_900_900,https://www.tokopedia.com/dellid/dell-inspiron-7391-ci7-10510u-16-512-uma-w10-blk-uhd-t-dell-official,0,0,22499000,,2
Dell Official Partner,Dell G5-5500 [Ci7-10750H-16-512-NVD-W10-BLK] DELL OFFICIAL,https://images.tokopedia.net/img/VqbcmM/2021/1/9/796ee66d-2a8c-4651-a24d-d9c52ae43587.jpg,https://www.tokopedia.com/dellid/dell-g5-5500-ci7-10750h-16-512-nvd-w10-blk-dell-official,2,0,22999000,5,2
Dell Official Partner,Dell G5-5590 [Ci7-9750H-16-512-NVD-W10-BLK] DELL INDONESIA,https://images.tokopedia.net/img/product-1/2020/1/13/45209017/45209017_567c32fc-1d8d-4390-b6da-d544782d98af_900_900,https://www.tokopedia.com/dellid/dell-g5-5590-ci7-9750h-16-512-nvd-w10-blk-dell-indonesia,11,23,22999000,5,18
Dell Official Partner,Dell Inspiron 7306 [Ci7-1165G7-16-512-UMA-W10-OHS-BLK] DELL OFFICIAL,https://images.tokopedia.net/img/VqbcmM/2021/3/25/d532c013-8aeb-4008-8bee-ef8363c367e1.jpg,https://www.tokopedia.com/dellid/dell-inspiron-7306-ci7-1165g7-16-512-uma-w10-ohs-blk-dell-official,4,0,23499000,5,5
Dell Official Partner,Dell G7-7500 [Ci7-10750H-8-512-NVD-W10-BLK] DELL OFFICIAL,https://images.tokopedia.net/img/VqbcmM/2021/6/5/0994cd18-1c13-4734-acc5-877302fefe43.jpg,https://www.tokopedia.com/dellid/dell-g7-7500-ci7-10750h-8-512-nvd-w10-blk-dell-official,1,8,23499000,5,1
Dell Official Partner,Dell G5-5500 [Ci7-10750H-32-512-NVD-W10-BLK] DELL OFFICIAL,https://images.tokopedia.net/img/VqbcmM/2021/5/5/bd17d2be-4a0e-44b5-a0a8-f43b454230d0.jpg,https://www.tokopedia.com/dellid/dell-g5-5500-ci7-10750h-32-512-nvd-w10-blk-dell-official,1,0,24899000,5,1
Dell Official Partner,Dell XPS 13 9370 [Ci7-8550U-8-256-UMA-W10P-FHD-SLV] DELL INDONESIA,https://images.tokopedia.net/img/product-1/2020/1/13/45209017/45209017_1633429d-bf19-4a45-b37a-d0497eb2312d_900_900,https://www.tokopedia.com/dellid/dell-xps-13-9370-ci7-8550u-8-256-uma-w10p-fhd-slv-dell-indonesia,0,4,24999000,,1
Dell Official Partner,Dell Latitude 5401 [Ci7-9850H-16-512-W10PRO] DELL OFFICIAL,https://images.tokopedia.net/img/product-1/2020/5/28/45209017/45209017_b91a894d-ab1b-4df8-a30e-36198d20685b_900_900,https://www.tokopedia.com/dellid/dell-latitude-5401-ci7-9850h-16-512-w10pro-dell-official,1,0,25300000,5,2
Dell Official Partner,Dell Latitude 5410 [Ci7- 10810U-16-512-AMD-W10PRO] DELL OFFICIAL,https://images.tokopedia.net/img/VqbcmM/2021/3/12/58cf0bff-0520-44bd-a626-9a4f1a1c7874.jpg,https://www.tokopedia.com/dellid/dell-latitude-5410-ci7-10810u-16-512-amd-w10pro-dell-official,0,0,25500000,,1
Dell Official Partner,Dell G5-5000 MT [Ci7-10700F-16-1T-NVD-W10-NON MONITOR],https://images.tokopedia.net/img/VqbcmM/2021/4/19/23b0dcbf-abcd-4a85-8326-94f631627301.jpg,https://www.tokopedia.com/dellid/dell-g5-5000-mt-ci7-10700f-16-1t-nvd-w10-non-monitor,1,0,26099000,5,4
Dell Official Partner,DELL XPS 13-9310 [Ci5-1135G7-8-512-UMA-W10P+OHS-NT] DELL OFFICIAL,https://images.tokopedia.net/img/VqbcmM/2021/3/25/5eef239c-d047-4a23-b95d-1d9d54b85510.jpg,https://www.tokopedia.com/dellid/dell-xps-13-9310-ci5-1135g7-8-512-uma-w10p-ohs-nt-dell-official-silver,0,1,26299000,,2
Dell Official Partner,Dell XPS 8940 [Ci7-10700-8-1T+512-NVD-W10P- SE2417HGX] DELL OFFICIAL,https://images.tokopedia.net/img/VqbcmM/2021/6/5/36242c10-3ccc-423b-86e8-d80571f70528.jpg,https://www.tokopedia.com/dellid/dell-xps-8940-ci7-10700-8-1t-512-nvd-w10p-se2417hgx-dell-official,0,0,26999000,,0
Dell Official Partner,Dell G5-5000 MT [Ci7-10700F-16-1T-NVD-W10-Dell SE2417HGX],https://images.tokopedia.net/img/VqbcmM/2021/6/5/ff5714a5-1a4f-4ae0-83ff-f70185e97e97.jpg,https://www.tokopedia.com/dellid/dell-g5-5000-mt-ci7-10700f-16-1t-nvd-w10-dell-se2417hgx,1,1,28099000,5,2
Dell Official Partner,Dell G5-5500 [Ci7-10750H-16-1T-NVD-W10-BLK] DELL OFFICIAL,https://images.tokopedia.net/img/attachment/2021/3/24/65580410/65580410_c1601a34-1cf2-4805-aa56-09c907e56712.jpg,https://www.tokopedia.com/dellid/dell-g5-5500-ci7-10750h-16-1t-nvd-w10-blk-dell-official,1,2,28199000,5,1
Dell Official Partner,DELL XPS 13-9310 [Ci7-1185G7-16-512-UMA-W10P+OHS-TS] DELL OFFICIAL,https://images.tokopedia.net/img/VqbcmM/2021/3/25/4dfe51b0-7771-4765-b58b-6e07aafbbf79.jpg,https://www.tokopedia.com/dellid/dell-xps-13-9310-ci7-1185g7-16-512-uma-w10p-ohs-ts-dell-official-putih,0,0,32499000,,3
Dell Official Partner,Dell G5-5000 MT [Ci9-10900F-32-1T-NVD-W10-NON MONITOR],https://images.tokopedia.net/img/VqbcmM/2021/3/22/b8b84a04-eff5-41e3-be21-1fcae14ae9aa.jpg,https://www.tokopedia.com/dellid/dell-g5-5000-mt-ci9-10900f-32-1t-nvd-w10-non-monitor,4,1,34499000,5,4
Dell Official Partner,Dell G7-7590 [Ci7-9750H-16-512-NVD-W10-BLK] DELL INDONESIA,https://images.tokopedia.net/img/product-1/2020/1/13/45209017/45209017_8e11f27c-8e20-422e-a10b-1de6f0d81ebb_900_900,https://www.tokopedia.com/dellid/dell-g7-7590-ci7-9750h-16-512-nvd-w10-blk-dell-indonesia,0,3,34599000,,1
Dell Official Partner,Dell G5-5000 MT [Ci9-10900F-32-1T- RTX-2070-W10-Dell SE2417HGX],https://images.tokopedia.net/img/VqbcmM/2021/6/5/2486940c-7eff-4b60-a353-146367b1b594.jpg,https://www.tokopedia.com/dellid/dell-g5-5000-mt-ci9-10900f-32-1t-rtx-2070-w10-dell-se2417hgx,0,0,35999000,,0
Dell Official Partner,Dell G5-5000 MT [Ci9-10900F-32-1T-NVD-W10-Dell SE2417HGX],https://images.tokopedia.net/img/VqbcmM/2021/4/10/aebb89b9-d162-4183-b265-a0026a17b34a.jpg,https://www.tokopedia.com/dellid/dell-g5-5000-mt-ci9-10900f-32-1t-nvd-w10-dell-se2417hgx,2,4,35999000,5,3
Dell Official Partner,Dell XPS 13 7390 [Ci7-1065G7-16-512-UMA-W10P-UHD-SLV] DELL INDONESIA,https://images.tokopedia.net/img/product-1/2020/1/13/45209017/45209017_ea1fbda9-67c2-4fcd-b115-7b8323fc37bb_900_900,https://www.tokopedia.com/dellid/dell-xps-13-7390-ci7-1065g7-16-512-uma-w10p-uhd-slv-dell-indonesia,2,5,39199000,4.5,2
Dell Official Partner,Dell XPS 15-9500 [Ci7-10750H-16-512-NVD-W10P-SLV-T] DELL OFFICIAL,https://images.tokopedia.net/img/product-1/2020/9/17/45209017/45209017_c4333220-8585-4777-9734-7130f95d0227_900_900,https://www.tokopedia.com/dellid/dell-xps-15-9500-ci7-10750h-16-512-nvd-w10p-slv-t-dell-official,0,5,41999000,,3
Dell Official Partner,Dell Precision T7920 [Xeon® Gold 5218R-64-2T SSD-NVD-W10P],https://images.tokopedia.net/img/VqbcmM/2021/1/23/bf693ce7-6280-4c74-b227-ba6d7c4db417.jpg,https://www.tokopedia.com/dellid/dell-precision-t7920-xeon-gold-5218r-64-2t-ssd-nvd-w10p,1,0,85000000,5,1
